Name,Phone,Crop_Type,Crop_Area,Season,Location,Estimated_Income,Farm_Scale,Region,Drone_Service_Potential,Area_Score,Season_Score,Region_Score,Drone_Service_Potential_scaled,Area_Score_scaled,Season_Score_scaled,Region_Score_scaled
Ahmad Rehman,0315-3218196,wheat,10,Rabi,Rahim Yar Khan,950000,Medium,Punjab,7,1.82,5,10.0,-0.518217150492075,-0.8468843581765354,-1.1456616213178985,0.6518566425757396
Rashid Junejo,0314-7940265,wheat,18,Both,Swabi,2736000,Medium,Kpk,7,2.55,10,5.0,-0.518217150492075,-0.4797495884316124,1.2611905243079389,-2.295054038146411
Hamza Gondal,0345-4078161,cotton,90,Both,Hyderabad,21600000,Large,Sindh,10,9.09,10,8.0,1.439782158671937,2.8093756090092055,1.2611905243079389,-0.5269076297131206
Ali Mughal,0318-1316475,wheat,27,Rabi,Okara,2565000,Medium,Punjab,7,3.36,5,10.0,-0.518217150492075,-0.07238087131738268,-1.1456616213178985,0.6518566425757396
Imran Dogar,0341-3276483,cotton,17,Kharif,Lahore,2550000,Medium,Punjab,10,2.45,7,10.0,1.439782158671937,-0.5300420226432455,-0.18292076306756358,0.6518566425757396
Imran Gill,0343-5376724,wheat,40,Rabi,Gujranwala,3800000,Medium,Punjab,7,4.55,5,10.0,-0.518217150492075,0.5260990958010536,-1.1456616213178985,0.6518566425757396
Waseem Mughal,0308-8710122,sugarcane,32,Kharif,Vehari,5760000,Medium,Punjab,8,3.82,7,10.0,0.13444928589592908,0.1589643260561305,-0.18292076306756358,0.6518566425757396
Uzma Bajwa,0342-0184514,rice,17,Kharif,Okara,2040000,Medium,Punjab,9,2.45,7,10.0,0.7871157222839331,-0.5300420226432455,-0.18292076306756358,0.6518566425757396
Shahid Shah,0347-4893252,rice,27,Kharif,Peshawar,3240000,Medium,Kpk,9,3.36,7,5.0,0.7871157222839331,-0.07238087131738268,-0.18292076306756358,-2.295054038146411
Bilal Lashari,0320-3039117,sugarcane,39,Kharif,Larkana,7020000,Medium,Sindh,8,4.45,7,8.0,0.13444928589592908,0.4758066615894205,-0.18292076306756358,-0.5269076297131206
Maryam Bajwa,0340-9638346,tobacco,6,Rabi,Rahim Yar Khan,1200000,Small,Punjab,5,1.45,5,10.0,-1.823550023268083,-1.0329663647595786,-1.1456616213178985,0.6518566425757396
Imran Warraich,0301-9839301,sugarcane,8,Kharif,Lahore,1440000,Small,Punjab,8,1.64,7,10.0,0.13444928589592908,-0.9374107397574755,-0.18292076306756358,0.6518566425757396
Majid Rehman,0349-7382997,wheat,35,Both,Larkana,5320000,Medium,Sindh,7,4.09,10,8.0,-0.518217150492075,0.2947538984275404,1.2611905243079389,-0.5269076297131206
Hamza Talpur,0331-7010651,wheat,17,Rabi,Multan,1615000,Medium,Punjab,7,2.45,5,10.0,-0.518217150492075,-0.5300420226432455,-1.1456616213178985,0.6518566425757396
Majid Choudhary,0333-8108013,wheat,36,Rabi,Vehari,3420000,Medium,Punjab,7,4.18,5,10.0,-0.518217150492075,0.3400170892180103,-1.1456616213178985,0.6518566425757396
Muhammad Tarar,0316-7468723,wheat,8,Both,Rahim Yar Khan,1216000,Small,Punjab,7,1.64,10,10.0,-0.518217150492075,-0.9374107397574755,1.2611905243079389,0.6518566425757396
Tariq Yousafzai,0337-8208121,cotton,96,Both,Charsadda,23040000,Large,Kpk,10,9.64,10,5.0,1.439782158671937,3.085983997173189,1.2611905243079389,-2.295054038146411
Hina Malik,0346-1699854,wheat,50,Rabi,Okara,4750000,Medium,Punjab,7,5.45,5,10.0,-0.518217150492075,0.9787310037057535,-1.1456616213178985,0.6518566425757396
Haroon Abbasi,0321-1079911,rice,19,Kharif,Pakpattan,2280000,Medium,Punjab,9,2.64,7,10.0,0.7871157222839331,-0.43448639764114233,-0.18292076306756358,0.6518566425757396
Kiran Lodhi,0310-7849808,wheat,47,Both,Multan,7144000,Medium,Punjab,7,5.18,10,10.0,-0.518217150492075,0.8429414313343433,1.2611905243079389,0.6518566425757396
Humaira Gujjar,0317-4935348,rice,30,Kharif,Vehari,3600000,Medium,Punjab,9,3.64,7,10.0,0.7871157222839331,0.06843794447519069,-0.18292076306756358,0.6518566425757396
Junaid Butt,0347-4278680,wheat,49,Rabi,Peshawar,4655000,Medium,Kpk,7,5.36,5,5.0,-0.518217150492075,0.9334678129152836,-1.1456616213178985,-2.295054038146411
Zafar Talpur,0308-0450533,cotton,55,Kharif,Nawabshah,8250000,Large,Sindh,10,5.91,7,8.0,1.439782158671937,1.2100762010792667,-0.18292076306756358,-0.5269076297131206
Majid Dogar,0311-6025634,wheat,49,Rabi,Lahore,4655000,Medium,Punjab,7,5.36,5,10.0,-0.518217150492075,0.9334678129152836,-1.1456616213178985,0.6518566425757396
Noman Gondal,0320-3303654,maize,10,Kharif,Rahim Yar Khan,1000000,Medium,Punjab,6,1.82,7,10.0,-1.1708835868800789,-0.8468843581765354,-0.18292076306756358,0.6518566425757396
Farah Warraich,0301-1429401,cotton,54,Both,Hyderabad,12960000,Large,Sindh,10,5.82,10,8.0,1.439782158671937,1.1648130102887968,1.2611905243079389,-0.5269076297131206
Amina Tarar,0343-3406088,cotton,95,Both,Vehari,22800000,Large,Punjab,10,9.55,10,10.0,1.439782158671937,3.040720806382719,1.2611905243079389,0.6518566425757396
Junaid Cheema,0349-1484656,cotton,80,Kharif,Vehari,12000000,Large,Punjab,10,8.18,7,10.0,1.439782158671937,2.351714457683342,-0.18292076306756358,0.6518566425757396
Rizwan Wattoo,0330-8044369,cotton,51,Kharif,Bahawalpur,7650000,Large,Punjab,10,5.55,7,10.0,1.439782158671937,1.0290234379173866,-0.18292076306756358,0.6518566425757396
Asif Jatoi,0318-8951343,sugarcane,14,Kharif,Sahiwal,2520000,Medium,Punjab,8,2.18,7,10.0,0.13444928589592908,-0.6658315950146555,-0.18292076306756358,0.6518566425757396
Imran Abbasi,0331-9367632,cotton,10,Kharif,Peshawar,1500000,Medium,Kpk,10,1.82,7,5.0,1.439782158671937,-0.8468843581765354,-0.18292076306756358,-2.295054038146411
Jamil Abbasi,0303-8317278,tobacco,10,Rabi,Bahawalpur,2000000,Medium,Punjab,5,1.82,5,10.0,-1.823550023268083,-0.8468843581765354,-1.1456616213178985,0.6518566425757396
Shahid Talpur,0342-7277434,sugarcane,38,Both,Sahiwal,10944000,Medium,Punjab,8,4.36,10,10.0,0.13444928589592908,0.43054347079895056,1.2611905243079389,0.6518566425757396
Babar Qureshi,0317-5581223,rice,7,Kharif,Sukkur,840000,Small,Sindh,9,1.55,7,8.0,0.7871157222839331,-0.9826739305479454,-0.18292076306756358,-0.5269076297131206
Noman Junejo,0303-3669096,rice,14,Kharif,Vehari,1680000,Medium,Punjab,9,2.18,7,10.0,0.7871157222839331,-0.6658315950146555,-0.18292076306756358,0.6518566425757396
Saima Mughal,0336-3467065,cotton,61,Kharif,Nawabshah,9150000,Large,Sindh,10,6.45,7,8.0,1.439782158671937,1.4816553458220865,-0.18292076306756358,-0.5269076297131206
Farah Ahmed,0330-9901627,wheat,21,Rabi,Sahiwal,1995000,Medium,Punjab,7,2.82,5,10.0,-0.518217150492075,-0.34396001606020254,-1.1456616213178985,0.6518566425757396
Irfan Rehman,0331-4170805,wheat,9,Both,Khairpur,1368000,Small,Sindh,7,1.73,10,8.0,-0.518217150492075,-0.8921475489670054,1.2611905243079389,-0.5269076297131206
Majid Khokhar,0301-9232719,canola,17,Both,Hyderabad,2312000,Medium,Sindh,5,2.45,10,8.0,-1.823550023268083,-0.5300420226432455,1.2611905243079389,-0.5269076297131206
Bilal Dogar,0320-1904966,canola,9,Both,Sahiwal,1224000,Small,Punjab,5,1.73,10,10.0,-1.823550023268083,-0.8921475489670054,1.2611905243079389,0.6518566425757396
Saeed Nawaz,0343-0586518,cotton,11,Both,Nawabshah,2640000,Medium,Sindh,10,1.91,10,8.0,1.439782158671937,-0.8016211673860655,1.2611905243079389,-0.5269076297131206
