Name,Phone,Crop_Type,Crop_Area,Season,Location,Farm_Scale,Region
Ahmad Rehman,0315-3218196,wheat,10,Rabi,Rahim Yar Khan,Medium,Punjab
Rashid Junejo,0314-7940265,wheat,18,Both,Swabi,Medium,KPK
Hamza Gondal,0345-4078161,cotton,90,Both,Hyderabad,Large,Sindh
Ali Mughal,0318-1316475,wheat,27,Rabi,Okara,Medium,Punjab
Imran Dogar,0341-3276483,cotton,17,Kharif,Lahore,Medium,Punjab
Imran Gill,0343-5376724,wheat,40,Rabi,Gujranwala,Medium,Punjab
Waseem Mughal,0308-8710122,sugarcane,32,Kharif,Vehari,Medium,Punjab
Uzma Bajwa,0342-0184514,rice,17,Kharif,Okara,Medium,Punjab
Shahid Shah,0347-4893252,rice,27,Kharif,Peshawar,Medium,KPK
Bilal Lashari,0320-3039117,sugarcane,39,Kharif,Larkana,Medium,Sindh
Maryam Bajwa,0340-9638346,tobacco,6,Rabi,Rahim Yar Khan,Small,Punjab
Imran Warraich,0301-9839301,sugarcane,8,Kharif,Lahore,Small,Punjab
Majid Rehman,0349-7382997,wheat,35,Both,Larkana,Medium,Sindh
Hamza Talpur,0331-7010651,wheat,17,Rabi,Multan,Medium,Punjab
Majid Choudhary,0333-8108013,wheat,36,Rabi,Vehari,Medium,Punjab
Muhammad Tarar,0316-7468723,wheat,8,Both,Rahim Yar Khan,Small,Punjab
Tariq Yousafzai,0337-8208121,cotton,96,Both,Charsadda,Large,KPK
Hina Malik,0346-1699854,wheat,50,Rabi,Okara,Medium,Punjab
Haroon Abbasi,0321-1079911,rice,19,Kharif,Pakpattan,Medium,Punjab
Kiran Lodhi,0310-7849808,wheat,47,Both,Multan,Medium,Punjab
Humaira Gujjar,0317-4935348,rice,30,Kharif,Vehari,Medium,Punjab
Junaid Butt,0347-4278680,wheat,49,Rabi,Peshawar,Medium,KPK
Zafar Talpur,0308-0450533,cotton,55,Kharif,Nawabshah,Large,Sindh
Majid Dogar,0311-6025634,wheat,49,Rabi,Lahore,Medium,Punjab
Noman Gondal,0320-3303654,maize,10,Kharif,Rahim Yar Khan,Medium,Punjab
Farah Warraich,0301-1429401,cotton,54,Both,Hyderabad,Large,Sindh
Amina Tarar,0343-3406088,cotton,95,Both,Vehari,Large,Punjab
Junaid Cheema,0349-1484656,cotton,80,Kharif,Vehari,Large,Punjab
Rizwan Wattoo,0330-8044369,cotton,51,Kharif,Bahawalpur,Large,Punjab
Asif Jatoi,0318-8951343,sugarcane,14,Kharif,Sahiwal,Medium,Punjab
Imran Abbasi,0331-9367632,cotton,10,Kharif,Peshawar,Medium,KPK
Jamil Abbasi,0303-8317278,tobacco,10,Rabi,Bahawalpur,Medium,Punjab
Shahid Talpur,0342-7277434,sugarcane,38,Both,Sahiwal,Medium,Punjab
Babar Qureshi,0317-5581223,rice,7,Kharif,Sukkur,Small,Sindh
Noman Junejo,0303-3669096,rice,14,Kharif,Vehari,Medium,Punjab
Saima Mughal,0336-3467065,cotton,61,Kharif,Nawabshah,Large,Sindh
Farah Ahmed,0330-9901627,wheat,21,Rabi,Sahiwal,Medium,Punjab
Irfan Rehman,0331-4170805,wheat,9,Both,Khairpur,Small,Sindh
Majid Khokhar,0301-9232719,canola,17,Both,Hyderabad,Medium,Sindh
Bilal Dogar,0320-1904966,canola,9,Both,Sahiwal,Small,Punjab
Saeed Nawaz,0343-0586518,cotton,11,Both,Nawabshah,Medium,Sindh
Ayesha Abbasi,0309-6284987,rice,29,Both,Hyderabad,Medium,Sindh
Sajid Rehman,0333-3799650,rice,13,Kharif,Sahiwal,Medium,Punjab
Shehzad Rehman,0342-0831367,cotton,40,Kharif,Khairpur,Medium,Sindh
Ahmad Jatoi,0318-3634957,cotton,54,Both,Rahim Yar Khan,Large,Punjab
Shehzad Wattoo,0316-3135182,wheat,35,Rabi,Gujranwala,Medium,Punjab
Babar Shah,0312-4352408,wheat,7,Rabi,Swabi,Small,KPK
Kashif Shah,0300-9477752,canola,11,Both,Charsadda,Medium,KPK
Kashif Choudhary,0343-0229413,wheat,31,Both,Mirpur Khas,Medium,Sindh
Amjad Laghari,0320-9649909,canola,6,Rabi,Mardan,Small,KPK
Sajid Dogar,0315-2812067,cotton,70,Both,Sahiwal,Large,Punjab
Noman Choudhary,0314-4936183,cotton,44,Both,Sukkur,Medium,Sindh
Saeed Lodhi,0333-1746488,rice,5,Kharif,Vehari,Small,Punjab
Ahmad Jatoi,0314-9904902,rice,23,Both,Okara,Medium,Punjab
Kashif Jatoi,0335-5655125,rice,18,Kharif,Vehari,Medium,Punjab
Noman Jatoi,0321-4516808,rice,4,Kharif,Pakpattan,Small,Punjab
Amjad Bhatti,0313-4824771,wheat,45,Rabi,Larkana,Medium,Sindh
Muhammad Junejo,0305-3171274,rice,11,Kharif,Bahawalpur,Medium,Punjab
Nadeem Gujjar,0325-3982146,wheat,37,Both,Lahore,Medium,Punjab
Iqbal Khattak,0309-7875588,rice,13,Kharif,Mardan,Medium,KPK
Sohail Malik,0321-7662702,rice,21,Kharif,Faisalabad,Medium,Punjab
Jamil Abbasi,0300-2621745,cotton,60,Kharif,Hyderabad,Large,Sindh
Shazia Cheema,0347-7809134,tobacco,2,Rabi,Faisalabad,Small,Punjab
Usman Laghari,0310-4005045,rice,7,Kharif,Vehari,Small,Punjab
Asif Sheikh,0305-9693792,wheat,45,Rabi,Okara,Medium,Punjab
Iqra Lodhi,0341-2175946,cotton,68,Kharif,Larkana,Large,Sindh
Amina Qureshi,0325-9594406,wheat,41,Rabi,Peshawar,Medium,KPK
Babar Mughal,0345-5339421,sunflower,12,Both,Bahawalpur,Medium,Punjab
Kamran Jatoi,0318-5623285,rice,11,Kharif,Hyderabad,Medium,Sindh
Bushra Warraich,0307-7123685,wheat,30,Both,Rahim Yar Khan,Medium,Punjab
Yasir Tarar,0347-5137098,wheat,44,Rabi,Faisalabad,Medium,Punjab
Haroon Junejo,0307-2004711,wheat,39,Rabi,Bahawalpur,Medium,Punjab
Mehwish Junejo,0344-2617964,wheat,28,Rabi,Bahawalpur,Medium,Punjab
Amina Lashari,0341-5064317,wheat,18,Rabi,Mirpur Khas,Medium,Sindh
Junaid Qureshi,0308-9318393,sugarcane,19,Kharif,Multan,Medium,Punjab
Shehzad Gujjar,0308-8421020,rice,28,Both,Pakpattan,Medium,Punjab
Kamran Junejo,0340-1177589,wheat,37,Both,Gujranwala,Medium,Punjab
Jamil Wattoo,0334-0076617,sugarcane,33,Both,Faisalabad,Medium,Punjab
Kamran Rehman,0346-9856984,rice,22,Kharif,Faisalabad,Medium,Punjab
Nadeem Gill,0332-7365766,sugarcane,25,Kharif,Okara,Medium,Punjab
Farhan Choudhary,0305-1161528,wheat,40,Rabi,Faisalabad,Medium,Punjab
Saima Bhatti,0318-9451983,wheat,35,Rabi,Faisalabad,Medium,Punjab
Bilal Rehman,0343-3689980,cotton,94,Both,Hyderabad,Large,Sindh
Haroon Warraich,0323-0229612,sugarcane,6,Kharif,Rahim Yar Khan,Small,Punjab
Junaid Dogar,0324-4599102,wheat,44,Both,Faisalabad,Medium,Punjab
Kashif Laghari,0331-4381561,wheat,48,Rabi,Rahim Yar Khan,Medium,Punjab
